Fusion Name	Gene 1 Symbol	Gene 2 Symbol
ZNF226:CPNE8	ZNF226	CPNE8
SINHCAF:PHAX	SINHCAF	PHAX
GIT2:SYN2	GIT2	SYN2
SMARCC2:CACNB4	SMARCC2	CACNB4
CERS5:TMEM198	CERS5	TMEM198
HNRNPK:TMBIM6	HNRNPK	TMBIM6
ZNF721:RPLP1	ZNF721	RPLP1
MBNL1:NDUFS4	MBNL1	NDUFS4
AJAP1:ACTR2	AJAP1	ACTR2
RBP7:PPIG	RBP7	PPIG
RASA4:RASA4B	RASA4	RASA4B
GLRX3:PMPCB	GLRX3	PMPCB
PMPCB:RHOQ	PMPCB	RHOQ
NAMPT:KCNIP1	NAMPT	KCNIP1
CKB:MTPN	CKB	MTPN
H2AZ2:BORCS7	H2AZ2	BORCS7
RTCA:GNE	RTCA	GNE
TMEM14B:ZNF326	TMEM14B	ZNF326
CCDC90B:SDC3	CCDC90B	SDC3
MRTFB:CREBZF	MRTFB	CREBZF
TTPA:GGH	TTPA	GGH
SCN3A:NEK1	SCN3A	NEK1
RASA2:TRA2B	RASA2	TRA2B
RPL15:SCRN1	RPL15	SCRN1
YIPF6:RAC1	YIPF6	RAC1
AEBP2:KBTBD11	AEBP2	KBTBD11
ZFHX2:LRSAM1	ZFHX2	LRSAM1
TLN2:SLTM	TLN2	SLTM
FHIT:TANK	FHIT	TANK
ARHGAP20:SKIL	ARHGAP20	SKIL
CFC1:CFC1B	CFC1	CFC1B
PFKFB3:ABI1	PFKFB3	ABI1
TECPR1:ABI1	TECPR1	ABI1
ECPAS:IPO9	ECPAS	IPO9
MMD2:ATP5MF	MMD2	ATP5MF
ZNF385D:RPL7A	ZNF385D	RPL7A
RPS7:TMEM138	RPS7	TMEM138
SCN2B:SFXN1	SCN2B	SFXN1
SCN2B:R3HDM2	SCN2B	R3HDM2
SYN2:PPP4C	SYN2	PPP4C
TERF1:ZBTB8A	TERF1	ZBTB8A
KRBOX4:TECPR1	KRBOX4	TECPR1
RBMX:RBMXL1	RBMX	RBMXL1
PHYH:NPEPPS	PHYH	NPEPPS
C1orf174:MTDH	C1orf174	MTDH
ZNG1E:ZNG1F	ZNG1E	ZNG1F
AOPEP:RALYL	AOPEP	RALYL
METTL15:ARL14EP	METTL15	ARL14EP
ATP5F1A:SELENOH	ATP5F1A	SELENOH
ARK2N:ANO10	ARK2N	ANO10
